127.0.0.1 - - [24/Jun/2021:16:04:27 +0800] "GET /Course-Registration/students/ HTTP/1.1" 200 16014
127.0.0.1 - - [24/Jun/2021:16:04:27 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:16:08:18 +0800] "GET /Course-Registration/students/myCourse HTTP/1.1" 200 4187
127.0.0.1 - - [24/Jun/2021:16:08:18 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:16:08:40 +0800] "GET /Course-Registration/students/ HTTP/1.1" 200 16014
127.0.0.1 - - [24/Jun/2021:16:08:40 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:16:09:16 +0800] "GET /Course-Registration/students/myCourse HTTP/1.1" 200 4187
127.0.0.1 - - [24/Jun/2021:16:09:16 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:16:14:47 +0800] "GET /Course-Registration/students/ HTTP/1.1" 200 8206
127.0.0.1 - - [24/Jun/2021:16:14:47 +0800] "GET /Course-Registration/students/ HTTP/1.1" 200 8206
127.0.0.1 - - [24/Jun/2021:16:14:47 +0800] "GET /Course-Registration/students/ HTTP/1.1" 200 21973
127.0.0.1 - - [24/Jun/2021:16:14:47 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:16:14:50 +0800] "GET /Course-Registration/students/checkReviews?courseId=10 HTTP/1.1" 200 1555
127.0.0.1 - - [24/Jun/2021:16:14:50 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:16:14:54 +0800] "GET /Course-Registration/students/myCourse?courseId=10 HTTP/1.1" 200 4187
127.0.0.1 - - [24/Jun/2021:16:14:54 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:16:14:59 +0800] "POST /Course-Registration/logout HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2021:16:14:59 +0800] "GET /Course-Registration/showMyLoginPage?logout HTTP/1.1" 200 2575
127.0.0.1 - - [24/Jun/2021:16:15:08 +0800] "POST /Course-Registration/authenticateTheUser HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2021:16:15:08 +0800] "GET /Course-Registration/showMyLoginPage?error HTTP/1.1" 200 2719
127.0.0.1 - - [24/Jun/2021:16:15:20 +0800] "POST /Course-Registration/authenticateTheUser HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2021:16:15:20 +0800] "GET /Course-Registration/instructors/ HTTP/1.1" 200 2094
127.0.0.1 - - [24/Jun/2021:16:15:20 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:16:15:27 +0800] "GET /Course-Registration/instructors/showFormForAddCourseForInstructor? HTTP/1.1" 200 1031
127.0.0.1 - - [24/Jun/2021:16:15:27 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:16:15:27 +0800] "GET /Course-Registration/resources/css/add-customer-style.css HTTP/1.1" 200 566
127.0.0.1 - - [24/Jun/2021:16:15:47 +0800] "POST /Course-Registration/instructors/saveCourse HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2021:16:15:47 +0800] "GET /Course-Registration/instructors/?username=monicarodriguez%40gmail.com HTTP/1.1" 200 2482
127.0.0.1 - - [24/Jun/2021:16:15:47 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:16:15:55 +0800] "POST /Course-Registration/logout HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2021:16:15:55 +0800] "GET /Course-Registration/showMyLoginPage?logout HTTP/1.1" 200 2575
127.0.0.1 - - [24/Jun/2021:16:16:02 +0800] "POST /Course-Registration/authenticateTheUser HTTP/1.1" 302 -
